,url
20994,"<meta content=""50th release from this well-regarded post-rock/experimental label offers exclusive material from its strongest artists."" data-react-helmet=""true"" name=""description"" property=""description""/>"
10440,"<meta content=""Of all Jakub Alexander's pursuits and side projects, his work as &quot;low level&quot; ambient act Heathered Pearls is designed to give him a break from his personal anxieties. While tension clearly fed into Loyal, it doesn't give much back out, dealing instead in gentle mood shifts that crystallize over the course of the record."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21474,"<meta content=""Brendan Benson's songs are almost exclusively about girls: nearly every harmony-heavy track buried deep inside Benson's discography contains ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
13610,"<meta content=""On their first commercially released album, Das Racist sound unimpressed by their own staggering ability, as if the actual process of making Relax didn't turn out to be as exciting as planning it."" data-react-helmet=""true"" name=""description"" property=""description""/>"
11192,"<meta content=""Collecting a year's worth of heady dance singles plus two unreleased tracks, Pink suggests Four Tet is capable of going deeper and expanding higher than almost anyone else out there."" data-react-helmet=""true"" name=""description"" property=""description""/>"
15254,"<meta content=""The absolutely enormous rock band reminds us that they got that way by simply communicating basic truths and basic melodies. Over and over and over again."" data-react-helmet=""true"" name=""description"" property=""description""/>"
8248,"<meta content=""Kansas City indie pop trio Shy Boys' self-titled debut is a triumph of ramshackle aesthetics and homespun hooks. Instrumentally, Shy Boys is far from dazzling, but that doesn't seem to hold the group back."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21669,"<meta content=""Old Fashioned Love"" data-react-helmet=""true"" name=""description"" property=""description""/>"
15643,"<meta content=""The Sigur Rós singer fights huge with huger on his solo debut, matching the uplift of his full-time band at their most dramatic."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21194,"<meta content=""Mary Lou Lord doesn't fit into your indie world. At least not lately. Back in the early 1990s, she ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
16005,"<meta content=""The divisive Vampire Weekend return with LP number two, and Contra finds them embracing their eccentricities without shame or apology."" data-react-helmet=""true"" name=""description"" property=""description""/>"
15387,"<meta content=""The experimental Brooklyn band's latest is a satisfying descent into noisy chaos."" data-react-helmet=""true"" name=""description"" property=""description""/>"
10096,"<meta content=""The soul singer's second album for Daptone finds him in a more optimistic mood, channeling the sound of 1970s greats like Al Green and Curtis Mayfield, and the sheer power of his voice is undiminished."" data-react-helmet=""true"" name=""description"" property=""description""/>"
886,"<meta content=""DJ Snake is best known for his endless sugar high “Turn Down For What.” His solo album has a few successfully ridiculous tracks but mostly makes you question the need for its existence."" data-react-helmet=""true"" name=""description"" property=""description""/>"
12978,"<meta content=""Chairlift's second full-length album is a major creative leap from their first, but it doesn't so much reinvent their sound as refine it."" data-react-helmet=""true"" name=""description"" property=""description""/>"
17383,"<meta content=""Firing on all cylinders, Growing continue to produce dynamic post-rock, here more prominently emphasizing stomping melody and kinetic rhythm."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21067,"<meta content=""Live albums often bank on facile nostalgia: &quot;Man, I remember when they played 'Truckin'' as the seventh encore.&quot; In the ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
20876,"<meta content=""Funeral"" data-react-helmet=""true"" name=""description"" property=""description""/>"
14290,"<meta content=""Erland Cooper crafts folk-inflected tales with help from the Verve's Simon Tong and inspiration from a poltergeist."" data-react-helmet=""true"" name=""description"" property=""description""/>"
6173,"<meta content=""Philadelphia indie-pop band Literature's debut LP for Slumberland sums up so much history: the antsy enthusiasm of the Feelies, the twinkling tone of Johnny Marr’s guitar, the “Go on, then” romanticism of Buzzcocks. But instead of coming off as a retread of bands dead and gone, it charms with humor and heart—a record with feeling, even if it feels like something you already know."" data-react-helmet=""true"" name=""description"" property=""description""/>"
15256,"<meta content=""The rapper's next comeback LP, this is meant to trace Em's journey out of depression and drug addiction and back into the peak of his powers."" data-react-helmet=""true"" name=""description"" property=""description""/>"
1517,"<meta content=""At its best, this short, punchy album feels like a distillation of everything that has made British producer Lone's work great so far."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21456,"<meta content=""Named after the first black Muppet, it's obvious that the underground duo Roosevelt Franklin-- featuring ex-Company Flow DJ Mr ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
22701,"<meta content=""I don't have an exact formula, but I figure that a decade in human years\n\ amounts to at ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
6988,"<meta content=""White Hinterland's latest finds Casey Dienel experimenting with more jagged percussion and orchestral flourishes, notably horns.  But for all the sonic change-ups, her idiosyncratic voice remains the music’s signature."" data-react-helmet=""true"" name=""description"" property=""description""/>"
2360,"<meta content='Beyoncé is on a roll. Her latest, another ""visual album"" with corresponding videos in the mold of her 2013 self-titled set, renders infidelity and reconciliation with a cinematic vividness.' data-react-helmet=""true"" name=""description"" property=""description""/>"
19452,"<meta content='Yes, that America. The band best known for ""The Horse With No Name"" returns with a late-career reunion album, getting assistance here from My Morning Jacket, Ryan Adams, James Iha (Smashing Pumpkins), and Adam Schlesinger (Fountains of Wayne), among others.' data-react-helmet=""true"" name=""description"" property=""description""/>"
17851,"<meta content=""Chicago rapper lashes out at the internet, indie culture, and even hip-hop itself, but his entertaining persona keeps him from being boxed in by his misanthropy."" data-react-helmet=""true"" name=""description"" property=""description""/>"
6931,"<meta content=""Less than five months after frontman John Dwyer told an audience at San Francisco’s Great American Music Hall that they wouldn’t be seeing the band in action for a while, Thee Oh Sees have reemerged with their eighth full-length record in six years. Drop turns out to be the next logical step in the progression undertaken on 2013’s Floating Coffin and 2012’s Putrifiers II."" data-react-helmet=""true"" name=""description"" property=""description""/>"
17425,"<meta content='Best known in the U.S. for their 1993 alt-rock hit ""Laid"", James return after a six-year layoff with their 10th album.' data-react-helmet=""true"" name=""description"" property=""description""/>"
3565,"<meta content=""The Australian garage rock band gained an adoring cult with the catchy, loud, fuzzy, and frantic songs of their 2012 debut. Three years later, lead singer Shogun might have worked to temper his powerful soul shout and the production is cleaner, but the songs are just as catchy and full of emotion."" data-react-helmet=""true"" name=""description"" property=""description""/>"
6935,"<meta content=""In 1987, Long Beach's Final Conflict released their pulverizing debut album, Ashes to Ashes, a venom-soaked takedown of the Reagan years, as well as one of the decade's best crossover releases. The set has been reissued in remastered form and packaged with some demos from 1985."" data-react-helmet=""true"" name=""description"" property=""description""/>"
15708,"<meta content=""This 1975 record from Zambia's &quot;Zam-rock&quot; scene, reissued by Now-Again and Shadoks, shows a band that was both behind and ahead of its era."" data-react-helmet=""true"" name=""description"" property=""description""/>"
22829,"<meta content=""The insert for One on One, the new offering from Mira Calix (aka female DJ Chantal Passamonte), depicts a silver-eyed ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19663,"<meta content=""Kurt Wagner's shapeshifting group offers its 10th album, this one featuring the contributions and influence of Nashville-based laptop group Hands Off Cuba."" data-react-helmet=""true"" name=""description"" property=""description""/>"
16188,"<meta content=""Mark Lanegan again teams with UK electronic vets, with guest spots from Spiritualized's Jason Pierce, Mike Patton, Richard Hawley, and Gibby Haynes."" data-react-helmet=""true"" name=""description"" property=""description""/>"
3417,"<meta content=""New Brunswick's Long Beard makes romantically restless dream pop with shades of Azure Ray and Galaxie 500. It might be a little unpolished, but Long Beard is good at making music that sounds best played in a lit bedroom, late at night, on a suburban street when everyone else is snoozing in their beds."" data-react-helmet=""true"" name=""description"" property=""description""/>"
22627,"<meta content=""And I thought my quest had reached its end. After years of searching through used record bins, bothering knowledgeable friends ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
10684,"<meta content=""Throughout their 20-year career, the German duo have deftly mixed traditional instrumentation with electronic textures that range from warm to brittle and disjointed. On their second release of 2012, Mouse on Mars deconstruct wonky, oddball bass music."" data-react-helmet=""true"" name=""description"" property=""description""/>"
12962,"<meta content=""The Brooklyn-based singer-songwriter's powerful third album, produced by the National's Aaron Dessner, features guest spots from Beirut's Zach Condon, Wye Oak's Jenn Wasner, Julianna Barwick, and Dessner's brother Bryce, among others."" data-react-helmet=""true"" name=""description"" property=""description""/>"
13803,"<meta content=""The Portland duo's second DFA album fuses a utopian concept with nervy, spastic electro-funk."" data-react-helmet=""true"" name=""description"" property=""description""/>"
1805,"<meta content=""In their mix of soulful grease and punky grit, Seratones feel like a natural, rollicking complement to The Alabama Shakes."" data-react-helmet=""true"" name=""description"" property=""description""/>"
3853,"<meta content=""Earlier this month, the Chicago rapper Lucki Eck$, then just 19, released his third mixtape, another collection of murky, tonally somber music. The lovingly crafted X is unrepentantly bleak, and stylistically provocative, combining Earl Sweatshirt's insistent misanthropy with a kind of rap game senioritis."" data-react-helmet=""true"" name=""description"" property=""description""/>"
20778,"<meta content=""Why isn't Tift Merritt famous? For one thing, she's responsible for one of the best acoustic guitar strums ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
4463,"<meta content=""Yelawolf has spent years making Love Story, his second official album as a major label artist and first release since 2013’s Trunk Muzik Returns. It seems to cement a damning new identity for him: once-compelling mixtape artist, shoddy album-maker."" data-react-helmet=""true"" name=""description"" property=""description""/>"
